State,date,Confirmed,Recovered,Death
Andaman and Nicobar,18-11-2021,7674,7539,129
Arunachal Pradesh,18-11-2021,55232,54904,280
Bihar,18-11-2021,726162,716473,9662
Chhattisgarh,18-11-2021,1006433,992585,13590
Delhi,18-11-2021,1440528,1415087,25095
Gujarat,18-11-2021,827068,816687,10090
Himachal Pradesh,18-11-2021,226118,221102,3823
Jharkhand,18-11-2021,349066,343792,5139
Kerala,18-11-2021,5077984,4977126,36475
Lakshadweep,18-11-2021,10366,10314,51
Manipur,18-11-2021,124639,122132,1955
Mizoram,18-11-2021,130415,124332,467
Nagaland,18-11-2021,32024,31185,695
Puducherry,18-11-2021,128520,126336,1867
Rajasthan,18-11-2021,954550,945513,8954
Tamil Nadu,18-11-2021,2717203,2671668,36324
Tripura,18-11-2021,84692,83778,817
Uttarakhand,18-11-2021,344062,336485,7404
Andhra Pradesh,18-11-2021,2070516,2053480,14421
Assam,18-11-2021,614663,605408,6061
Chandigarh,18-11-2021,65391,64542,820
Dadra and Nagar Haveli and Daman and Diu,18-11-2021,10682,10678,4
Goa,18-11-2021,178569,174934,3376
Haryana,18-11-2021,771481,761283,10051
Jammu and Kashmir,18-11-2021,334600,328630,4457
Karnataka,18-11-2021,2992584,2946985,38161
Ladakh,18-11-2021,21252,20835,211
Maharashtra,18-11-2021,6626875,6470791,140668
Meghalaya,18-11-2021,84117,82386,1465
Madhya Pradesh,18-11-2021,792986,782384,10525
Odisha,18-11-2021,1046088,1035262,8383
Punjab,18-11-2021,602870,585986,16575
Sikkim,18-11-2021,32120,31608,401
Telengana,18-11-2021,674037,666348,3977
Uttar Pradesh,18-11-2021,1710294,1687290,22909
West Bengal,18-11-2021,1606656,1579264,19341
