week,total_sequences,Alpha,Beta,Gamma,Delta,Kappa,Eta,Iota,21G (Lambda),21H,20B/S:732A,20A/S:126A,20E (EU1),Epsilon,20A/S:439K,S:677P.Pelican,20A.EU2,20A/S:98F,20C/S:80Y,20B/S:626S,20B/S:1122L,country,eow_dt,S:677H.Robin1
2020-04-27,4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,2020-05-03,
2020-05-11,2767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,2020-05-17,
2020-05-25,1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,2020-05-31,
2020-06-08,4715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,2020-06-14,
2020-06-22,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087527352297593,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,2020-06-28,
2020-07-06,1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09191176470588235,0.0,1.1948529411764706,0.0,0.0,0.0,0.0,0.0,0.09191176470588235,United Kingdom,2020-07-12,
2020-07-20,1190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100840336134454,0.0,0.6722689075630253,0.0,0.0,0.0,0.33613445378151263,0.25210084033613445,0.0,United Kingdom,2020-07-26,
2020-08-03,2357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.915570640644887,0.0,1.4849384811200679,0.0,0.7636826474331778,0.6364022061943148,0.975816716164616,0.7212558336868901,0.0,United Kingdom,2020-08-09,
2020-08-17,4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.138996138996138,0.0,6.611969111969112,0.0,4.440154440154441,2.413127413127413,2.5337837837837838,1.1583011583011582,0.16891891891891891,United Kingdom,2020-08-23,
2020-08-31,5666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.89798799858807,0.0,3.653370984821744,0.0,3.6357218496293684,1.5884221673138015,1.0412989763501588,0.5118249205788916,0.0,United Kingdom,2020-09-06,
2020-09-14,9715,0.030880082346886256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.474523932063825,0.0,4.251158003088008,0.0,2.305712815234174,0.8646423057128153,0.33968090581574883,0.14410705095213588,0.030880082346886256,United Kingdom,2020-09-20,
2020-09-28,11550,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25108225108225,0.0,3.722943722943723,0.0,2.9783549783549783,0.8744588744588744,0.2683982683982684,0.1038961038961039,0.017316017316017316,United Kingdom,2020-10-04,
2020-10-12,16141,0.22922991140573692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.94275447617868,0.0,3.4260578650641222,0.0,2.818908369989468,0.588563286041757,0.06814943312062449,0.1672758812960783,0.024781612043863453,United Kingdom,2020-10-18,
2020-10-26,17861,1.9595767314260122,0.0,0.0,0.005598790661217177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.038687643469,0.0,3.006550585073624,0.0,2.413078774984603,0.45350204355859136,0.039191534628520236,0.06718548793460613,0.016796371983651533,United Kingdom,2020-11-01,
2020-11-09,17960,7.800668151447661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.97884187082406,0.0,2.4443207126948776,0.0,2.5556792873051224,0.5456570155902005,0.027839643652561245,0.06681514476614699,0.005567928730512249,United Kingdom,2020-11-15,
2020-11-23,8404,12.494050452165634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.38315088053308,0.0,1.7491670633031888,0.0,1.332698714897668,0.48786292241789625,0.03569728700618753,0.011899095668729176,0.0,United Kingdom,2020-11-29,
2020-12-07,21392,40.272064323111444,0.07946896035901271,0.0,0.0,0.0,0.009349289454001496,0.0,0.0,0.0,0.009349289454001496,0.0,49.813014210919974,0.009349289454001496,1.5052356020942408,0.0,1.0050486163051608,0.19166043380703068,0.004674644727000748,0.004674644727000748,0.0,United Kingdom,2020-12-13,
