Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
01/01/2022,Ladakh,389721,1140,5,213891,175830,224020,165655,46,0,389721,0,19,248886,80114,60721,0,0,0,0,0,0
01/01/2022,Madhya Pradesh,102443336,1594027,2762,52104815,50338521,53400971,49019958,22407,10586543,91834934,21859,2712,66363379,22951907,13128050,0,0,0,0,0,0
01/01/2022,West Bengal,105003375,1172904,1779,64647867,40355508,51856723,53127743,18909,10627476,94292852,83047,4238,60298212,28376208,16328955,0,0,0,0,0,0
01/01/2022,Tripura,4702403,237402,551,2570202,2132201,2390700,2310974,729,92481,4609922,0,227,2593099,1405389,703915,0,0,0,0,0,0
01/01/2022,Puducherry,1405573,93890,42,842093,563480,675770,729506,297,74,1405499,0,28,805938,373505,226130,0,0,0,0,0,0
01/01/2022,Chandigarh,1747781,24712,52,991485,756296,993352,754158,271,5541,1742240,0,178,1149923,395919,201939,0,0,0,0,0,0
01/01/2022,Himachal Pradesh,11363392,33172,200,5861522,5501870,5845996,5514786,2610,3842,11356576,2974,795,6522609,2874633,1966150,0,0,0,0,0,0
01/01/2022,Mizoram,1333253,30,1,746547,586706,670282,662709,262,0,1333253,0,1222,846899,306229,180125,0,0,0,0,0,0
01/01/2022,Chandigarh,1747781,24712,52,991485,756296,993352,754158,271,5541,1742240,0,178,1149923,395919,201939,0,0,0,0,0,0
01/01/2022,Karnataka,86425460,4739108,4893,47664722,38760738,43448411,42961943,15106,10077614,76237887,109959,4013,51478883,21561101,13385476,0,0,0,0,0,0
01/01/2022,Uttar Pradesh,202203439,13317759,14193,128330467,73872972,104316956,97802092,84391,22370485,179781588,51366,2128,128689930,47157420,26356089,0,0,0,0,0,0
01/01/2022,Kerala,47348315,850907,1148,26160625,21187690,22558314,24777518,12483,4084586,43193145,70584,2942,22594754,13508966,11244595,0,0,0,0,0,0
01/01/2022,Delhi,26452693,521305,1365,15259033,11193660,15180830,11263792,8071,5335307,21027423,89963,1306,17986716,5751394,2714583,0,0,0,0,0,0
01/01/2022,Assam,37666268,1399788,2180,21735536,15930732,18613510,19047322,5436,3495495,34168392,2381,314,24233441,9273595,4159232,0,0,0,0,0,0
01/01/2022,West Bengal,105003375,1172904,1779,64647867,40355508,51856723,53127743,18909,10627476,94292852,83047,4238,60298212,28376208,16328955,0,0,0,0,0,0
01/01/2022,Lakshadweep,108511,1360,8,55597,52914,57931,50574,6,0,108511,0,17,62713,29564,16234,0,0,0,0,0,0
01/01/2022,Jammu and Kashmir,18682641,962890,1497,9685212,8997429,10323227,8355918,3496,1119262,17563379,0,278,11332855,4751524,2598262,0,0,0,0,0,0
01/01/2022,Puducherry,1405573,93890,42,842093,563480,675770,729506,297,74,1405499,0,28,805938,373505,226130,0,0,0,0,0,0
01/01/2022,Andaman and Nicobar Islands,593429,2092,21,299647,293782,317102,276230,97,0,593429,0,12,363861,155565,74003,0,0,0,0,0,0
01/01/2022,Telangana,47104378,4045389,2547,27973161,19131217,23687708,23407335,9335,5511577,41451095,141706,3901,28584662,11737461,6782255,0,0,0,0,0,0
01/01/2022,Rajasthan,81857782,3544621,6192,46634303,35223479,41810656,40029732,17394,8722750,73117319,17713,843,49202317,18856005,13799460,0,0,0,0,0,0
01/01/2022,Odisha,50241682,1296740,1899,29291245,20950437,24790555,25439281,11846,5577807,44657921,5954,802,29022065,12995105,8224512,0,0,0,0,0,0
01/01/2022,Himachal Pradesh,11363392,33172,200,5861522,5501870,5845996,5514786,2610,3842,11356576,2974,795,6522609,2874633,1966150,0,0,0,0,0,0
