location,total_cases,total_deaths,total_recovered,active_cases,date
United States,50270136,812205,39742867,9715064,08-12-2021
India,34656822,473952,34089137,93733,08-12-2021
Brazil,22157726,616067,21386271,155388,08-12-2021
United Kingdom,10610958,145987,9340390,1124581,08-12-2021
Russia,9895597,284823,8602067,1008707,08-12-2021
Turkey,8943837,78215,8486689,378933,08-12-2021
France,7987591,119899,7211059,656633,08-12-2021
Germany,6319311,104812,5225700,988799,08-12-2021
Iran,6144644,130446,5943467,70731,08-12-2021
Argentina,5346242,116703,5205534,24005,08-12-2021
Spain,5246766,88237,4937402,221127,08-12-2021
Italy,5152264,134472,4768578,249214,08-12-2021
Colombia,5084466,128874,4925444,30148,08-12-2021
Indonesia,4258340,143909,4109068,5363,08-12-2021
Mexico,3905319,295601,3262422,347296,08-12-2021
Poland,3732589,86796,3194731,451062,08-12-2021
Ukraine,3519981,89436,3109423,321122,08-12-2021
South Africa,3051222,90002,2864648,96572,08-12-2021
Philippines,2835593,49761,2773322,12510,08-12-2021
Netherlands,2808892,19842,2193044,596006,08-12-2021
Malaysia,2673019,30746,2581395,60878,08-12-2021
Czechia,2282212,34034,1963455,284723,08-12-2021
Peru,2246633,201450,0,0,08-12-2021
Thailand,2152384,21033,2067149,64202,08-12-2021
Iraq,2086192,23931,2052656,9605,08-12-2021
Belgium,1879784,27360,1395359,457065,08-12-2021
Canada,1815215,29827,1756185,29203,08-12-2021
Romania,1789539,57360,1707968,24211,08-12-2021
Chile,1776599,38541,1672907,65151,08-12-2021
Japan,1728113,18367,1708924,822,08-12-2021
Bangladesh,1578288,28016,1543204,7068,08-12-2021
Vietnam,1352122,26930,1036393,288799,08-12-2021
Israel,1347877,8210,1333483,6184,08-12-2021
Pakistan,1287703,28793,1247066,11844,08-12-2021
Serbia,1268787,12036,1218981,37770,08-12-2021
Sweden,1222892,15151,1164019,43722,08-12-2021
Austria,1212999,12979,1109972,90048,08-12-2021
Portugal,1177706,18587,1096285,62834,08-12-2021
Hungary,1168728,36048,948385,184295,08-12-2021
Switzerland,1085677,11708,879693,194276,08-12-2021
Jordan,993339,11850,916406,65083,08-12-2021
Greece,984301,18901,896009,69391,08-12-2021
