location,total_cases,total_deaths,total_recovered,active_cases,date
United States,36449535,632647,29834481,5982407,07-08-2021
India,31913083,427750,31071287,414046,07-08-2021
Brazil,20108746,561807,18868602,678337,07-08-2021
Russia,6424884,164094,5739838,520952,07-08-2021
France,6258953,112158,5743040,403755,07-08-2021
United Kingdom,6042252,130281,4622268,1289703,07-08-2021
Turkey,5870741,51976,5491762,327003,07-08-2021
Argentina,5002951,107213,4645158,250580,07-08-2021
Colombia,4828583,122087,4632801,73695,07-08-2021
Spain,4588132,82006,3784544,721582,07-08-2021
Italy,4390684,128209,4153940,108535,07-08-2021
Iran,4119110,93473,3515263,510374,07-08-2021
Germany,3794092,92271,3664100,37721,07-08-2021
Indonesia,3639616,105598,3036194,497824,07-08-2021
Mexico,2944226,243733,2298074,402419,07-08-2021
Poland,2883976,75285,2654359,154332,07-08-2021
South Africa,2511178,74352,2280490,156336,07-08-2021
Ukraine,2258532,53085,2190686,14761,07-08-2021
Peru,2122557,196818,0,0,07-08-2021
Netherlands,1883513,17867,1684053,181593,07-08-2021
Iraq,1704363,19146,1520000,165217,07-08-2021
Czechia,1674726,30363,1641904,2459,07-08-2021
Philippines,1649341,28835,1544443,76063,07-08-2021
Chile,1622509,35951,1577982,8576,07-08-2021
Canada,1438080,26663,1401422,9995,07-08-2021
Bangladesh,1343396,22411,1188820,132165,07-08-2021
Malaysia,1243852,10389,1009343,224120,07-08-2021
Belgium,1136726,25268,1063847,47611,07-08-2021
Sweden,1104538,14620,1077670,12248,07-08-2021
Romania,1084711,34313,1048481,1917,07-08-2021
Pakistan,1063125,23797,959491,79837,07-08-2021
Japan,1001281,15255,873519,112507,07-08-2021
Portugal,984985,17457,923510,44018,07-08-2021
Israel,893105,6516,858260,28329,07-08-2021
Hungary,809855,30033,752709,27113,07-08-2021
Jordan,776178,10116,753806,12256,07-08-2021
Thailand,736522,6066,517012,213444,07-08-2021
Serbia,725245,7135,711684,6426,07-08-2021
Switzerland,723968,10909,693449,19610,07-08-2021
Nepal,712740,10038,667270,35432,07-08-2021
UAE,691554,1971,668554,21029,07-08-2021
Morocco,687292,10255,605431,71606,07-08-2021
Austria,662529,10750,645694,6085,07-08-2021
Kazakhstan,626412,6659,514299,105454,07-08-2021
Tunisia,608114,20809,539339,47966,07-08-2021
Lebanon,568505,7932,538434,22139,07-08-2021
Saudi Arabia,532785,8320,514362,10103,07-08-2021
Greece,512342,13031,465531,33780,07-08-2021
Ecuador,491185,31774,443880,15531,07-08-2021
Bolivia,477262,17959,413821,45482,07-08-2021
